practitioner_id,name,profession,division,registration_type,speciality,location,postcode_searched
MED0002453351,Dr Taylah Ann Leader,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0002226706,Miss Alice Margaret Morris,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001679390,Dr Eliza  Maloney,Medical Practitioner,,Specialist  Paediatrics and child health,Paediatrics and child health,"Hobart, TAS, 7000",7000
MED0001679390,Dr Eliza  Maloney,Medical Practitioner,,Specialist  Rehabilitation medicine,Rehabilitation medicine,"Hobart, TAS, 7000",7000
MED0001646563,Dr Tayiba  Mudasir,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001646563,Dr Tayiba  Mudasir,Medical Practitioner,,"Specialist  Pathology, Anatomical pathology (including cytopathology)","Pathology, Anatomical pathology (including cytopathology)","Hobart, TAS, 7000",7000
MED0001670591,Dr Niles Elizabeth Nelson,Medical Practitioner,,General,,"Hobart, TAS, 7000",7000
MED0001670591,Dr Niles Elizabeth Nelson,Medical Practitioner,,"Specialist  Pathology, Haematology","Pathology, Haematology","Hobart, TAS, 7000",7000
MED0001670591,Dr Niles Elizabeth Nelson,Medical Practitioner,,"Specialist  Physician, Haematology","Physician, Haematology","Hobart, TAS, 7000",7000
MED0001670227,Dr Irene Marina Moyer De Miguel,Medical Practitioner,,General,,"Dynnyrne, TAS, 7005",7005
MED0001670227,Dr Irene Marina Moyer De Miguel,Medical Practitioner,,Specialist  Emergency medicine,Emergency medicine,"Dynnyrne, TAS, 7005",7005
MED0001927582,Dr Daniel Peter Jones,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001163456,Dr Warwick Byron Dobson,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001163456,Dr Warwick Byron Dobson,Medical Practitioner,,Specialist  Emergency medicine,Emergency medicine,"Sandy Bay, TAS, 7005",7005
MED0002569164,Dr Sarah Claire McCarthy,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001933197,Dr Peter Clifford Loudon,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001933197,Dr Peter Clifford Loudon,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001648648,Dr Andrew Robert Jones,Medical Practitioner,,Specialist  Ophthalmology,Ophthalmology,"Sandy Bay, TAS, 7005",7005
